inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status,geocode_precision,geocode_query,geocode_display,shift_from_city_km
de-karlsruhe-inst-of-technology,csrankings,Karlsruhe Inst. of Technology,de,,https://www.informatik.kit.edu/english/,60,Karlsruhe Institute of Technology,04t3en479,Karlsruhe Institute of Technology,Karlsruhe,49.00937,8.40444,1.00,1.00,1,,,,auto,city_centroid,,,0.00
gb-heriot-watt-university,csrankings,Heriot-Watt University,gb,,https://www.hw.ac.uk/about/our-schools/mathematical-and-computer-sciences/,60,Heriot-Watt University,04mghma93,Heriot-Watt University,Edinburgh,55.9102959,-3.3234475,1.00,1.00,0,,,,auto,street,"Heriot-Watt University, Edinburgh","Heriot-Watt University, The Avenue, Malcolmstone, Currie, City of Edinburgh, Alba / Scotla",9.17
nl-radboud-university,csrankings,Radboud University,nl,,https://www.cs.ru.nl,60,Radboud University Nijmegen,016xsfp80,Radboud University Nijmegen,Nijmegen,51.8215173,5.8634329,1.00,1.00,1,,,,auto,street,"Radboud University, Nijmegen","Radboud Universiteit, d'Almarasweg, Heijendaal, Nijmegen-Midden, Nijmegen, Gelderland, Ned",2.45
be-ku-leuven,csrankings,KU Leuven,be,,https://wms.cs.kuleuven.be/cs/english,59,KU Leuven,05f950310,KU Leuven,Leuven,50.87959,4.70093,1.00,1.00,1,,,,auto,city_centroid,,,0.00
gr-university-of-piraeus,csrankings,University of Piraeus,gr,,https://www.ds.unipi.gr,59,University of Piraeus,02qs84g94,University of Piraeus,Piraeus,37.94203,23.64619,1.00,1.00,1,,,,auto,city_centroid,,,0.00
dk-aarhus-university,csrankings,Aarhus University,dk,,https://cs.au.dk/,58,Aarhus University,01aj84f44,Aarhus University,Aarhus,56.1670905,10.2026177,1.00,1.00,1,,,,auto,street,"Aarhus University, Aarhus","Aarhus Universitet, Katrinebjergvej, Katrinebjerg, Haslevangen, Hasle, Aarhus, Aarhus Komm",1.26
gb-university-of-bath,csrankings,University of Bath,gb,,https://www.bath.ac.uk/departments/department-of-computer-science/,58,University of Bath,002h8g185,University of Bath,Bath,51.3766938,-2.3234206,1.00,1.00,0,,,,auto,street,"University of Bath, Bath","University of Bath, Claverton Down Road, Claverton Down, Bath, Bath and North East Somerse",2.66
nl-utrecht-university,csrankings,Utrecht University,nl,,https://www.uu.nl,58,Utrecht University,04pp8hn57,Utrecht University,Utrecht,52.09083,5.12222,1.00,1.00,1,,,,auto,city_centroid,,,0.00
de-max-planck-society,csrankings,Max Planck Society,de,,https://www.mpi-inf.mpg.de/,57,Max Planck Society,01hhn8329,Max Planck Society,Munich,48.13743,11.57549,1.00,1.00,0,,,,auto,city_centroid,,,0.00
nl-university-of-amsterdam,csrankings,University of Amsterdam,nl,,https://ivi.uva.nl/,57,University of Amsterdam,04dkp9463,University of Amsterdam,Amsterdam,52.3681334,4.8898042,1.00,1.00,1,,,,auto,street,"University of Amsterdam, Amsterdam","Universiteit van Amsterdam, Spui, Centrum, Amsterdam, Noord-Holland, Nederland, 1012 XA, N",0.66
gb-university-of-leeds,csrankings,University of Leeds,gb,,https://eps.leeds.ac.uk/computing,55,University of Leeds,024mrxd33,University of Leeds,Leeds,53.8065718,-1.5557853,1.00,1.00,1,,,,auto,street,"University of Leeds, Leeds","University of Leeds, Calverley Street, Little Woodhouse, Arena Quarter, Woodhouse, Leeds, ",1.24
ie-trinity-college-dublin,csrankings,Trinity College Dublin,ie,,https://www.scss.tcd.ie,55,Trinity College Dublin,02tyrky19,Trinity College Dublin,Dublin,53.3437061,-6.2544278,1.00,1.00,1,,,,auto,street,"Trinity College Dublin, Dublin","Trinity College Dublin, College Green, Mansion House A ED, Dublin, County Dublin, Leinster",1.24
de-cispa-helmholtz-center,csrankings,CISPA Helmholtz Center,de,,https://cispa.saarland,54,CISPA Helmholtz Center for Information Security,02njgxr09,Helmholtz Center for Information Security,Saarbrücken,49.2593473,7.0509733,1.00,0.93,0,,,,auto,street,"CISPA Helmholtz Center, Saarbrücken","CISPA – Helmholtz Center for Information Security, Stuhlsatzenhaus, Universität, St. Johan",4.21
de-rwth-aachen-university,csrankings,RWTH Aachen University,de,,https://www.informatik.rwth-aachen.de/,54,RWTH Aachen University,04xfq0f34,RWTH Aachen University,Aachen,50.7791732,6.0689207,1.00,1.00,0,,,,auto,street,"RWTH Aachen University, Aachen","RWTH Aachen, Altstraße, Forst, Aachen-Mitte, Aachen, Städteregion Aachen, Nordrhein-Westfa",1.06
de-tu-dresden,csrankings,TU Dresden,de,,https://tu-dresden.de/ing/informatik,54,TU Dresden,042aqky30,Technische Universität Dresden,Dresden,51.029867,13.7303171,1.00,1.00,1,,,,auto,street,"TU Dresden, Dresden","Technische Universität Dresden, George-Bähr-Straße, Schweizer Viertel, Südvorstadt-West, R",2.40
dk-aalborg-university,csrankings,Aalborg University,dk,,https://www.cs.aau.dk/,54,Aalborg University,04m5j1k67,Aalborg University,Aalborg,57.0159209,9.9753108,1.00,1.00,1,,,,auto,street,"Aalborg University, Aalborg","Aalborg Universitet, Niels Jernes Vej, NOVI Science Park, Universitetsbyen, Sønder Trander",4.95
cz-masaryk-university,csrankings,Masaryk University,cz,,https://www.muni.cz,53,Masaryk University,02j46qs45,Masaryk University,Brno,49.2099967,16.5992487,1.00,1.00,1,,,,auto,building,"Masaryk University, Brno","Fakulta informatiky Masarykovy univerzity, 554/68a, Botanická, Ponava, Brno-Královo Pole, ",1.76
gb-university-of-surrey,csrankings,University of Surrey,gb,,https://www.surrey.ac.uk,53,University of Surrey,00ks66431,University of Surrey,Guildford,51.2430782,-0.5900545,1.00,1.00,1,,,,auto,street,"University of Surrey, Guildford","University of Surrey, Weyside Road, Bellfields, Guildford, Surrey, England, GU2 7XH, Unite",1.39
