name,core_papers,sources,dblp_current,status,reason_code,reason
Jakob H. Macke,23,,"University of Tübingen, Germany",exclude,E08,CSRankings files them at University of Tübingen (de)
Angela P. Schoellig,23,de-mcml;de-tu-munich;csrankings,"TU Munich, Germany|University of Toronto, Canada",include,,on an institution directory here
Bernd Bischl,23,de-lmu-munich;de-mcml;csrankings,"LMU Munich, Department of Statistics, Germany",include,,on an institution directory here
Cheng Lin 0001,22,,"Macau University of Science and Technology, Department of Computer Science and Engineering, Macau|Tencent, Shenzhen, Chi",exclude,E08,DBLP's primary current affiliation is Macau University of Science and Technology; on none of the local directories
Georgios Kaissis,22,de-helmholtz-munich,,include,,on an institution directory here; no corroborating DBLP affiliation note
Daniel Rueckert,22,de-mcml;de-tu-munich,"Technical University of Munich, Germany|Imperial College London, UK",include,,on an institution directory here
Mikhail Belkin,22,de-tu-munich,,include,,on an institution directory here; no corroborating DBLP affiliation note
Gjergji Kasneci,21,de-mcml;de-tu-munich,"Technical University of Munich, Germany",include,,on an institution directory here
Alois C. Knoll,21,de-tu-munich;csrankings;csrankings,"Technical University Munich, Department of Computer Science, Germany|University of Bielefeld, Department of Computer Sci",include,,on an institution directory here
Vincent Fortuin,20,de-helmholtz-munich;de-mcml,"Helmholtz AI, Munich, Germany",include,,on an institution directory here
Alexander Fraser 0001,20,de-mcml;csrankings,Ludwig-Maximilians-Universität München,include,,on an institution directory here
Yan Xia 0003,19,,"Technical University of Munich, Germany",queue,,current DBLP affiliation here but on no institution directory
Gitta Kutyniok,19,de-mcml;csrankings,"LMU Munich, Department of Mathematics, Germany",include,,on an institution directory here
Reinhard Heckel,19,de-mcml;de-tu-munich;csrankings,,include,,on an institution directory here; no corroborating DBLP affiliation note
Ngoc Thang Vu,19,,"University of Stuttgart, Institute for Natural Language Processing, Germany|University of Munich, Center for Information",exclude,E08,CSRankings files them at University of Stuttgart (de)
Xingxing Zuo 0001,19,,"Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI), Abu Dhabi, United Arab Emirates|California Institute o",exclude,E08,DBLP's primary current affiliation is Mohamed Bin Zayed University of Artificial Intelligence (MBZUAI); on none of the local directories
Ben Glocker,19,,"Imperial College, London, UK|Technical University Munich, Germany",exclude,E08,CSRankings files them at Imperial College London (gb)
Eric Schulz,18,de-helmholtz-munich,,include,,on an institution directory here; no corroborating DBLP affiliation note
Niki Kilbertus,18,de-helmholtz-munich;de-mcml;de-tu-munich,"TU Munich, Germany",include,,on an institution directory here
