inst_id,source,name,country,city_expected,homepage,csrankings_faculty,ror_query,ror_id,ror_name,ror_city,lat,lon,score,similarity,domain_match,coords_from,city_note,override_note,status
de-university-of-marburg,csrankings,University of Marburg,de,,https://www.uni-marburg.de/en/fb12,11,Philipps-Universität Marburg,01rdrb571,Philipps University of Marburg,Marburg,50.80904,8.77069,1.00,1.00,1,,,Matched Wismar University of Applied Sciences 450 km away,auto
de-university-of-osnabr-ck,csrankings,University of Osnabrück,de,,https://www.informatik.uni-osnabrueck.de,11,Osnabrück University,04qmmjx98,Osnabrück University,Osnabrück,52.27264,8.0498,1.00,1.00,0,,,,auto
ch-university-of-fribourg,csrankings,University of Fribourg,ch,,https://www.unifr.ch,10,University of Fribourg,022fs9h90,University of Fribourg,Fribourg,46.80237,7.15128,1.00,1.00,1,,,,auto
de-university-of-mannheim,csrankings,University of Mannheim,de,,https://www.wim.uni-mannheim.de/en/,10,Universität Mannheim,03nt4av35,Stadt Mannheim,Mannheim,49.4891,8.46694,0.93,0.76,1,,,ROR identity unresolved (best match is the city government); city Mannheim is correct so the coordinate stands,auto
de-university-of-trier,csrankings,University of Trier,de,,https://www.uni-trier.de,10,University of Trier,02778hg05,Universität Trier,Trier,49.75565,6.63935,1.00,1.00,0,,,,auto
lv-university-of-latvia,csrankings,University of Latvia,lv,,https://www.lu.lv/en/about-us/structure/institutes/ul-institute-of-mathematics-and-computer-science/,10,University of Latvia,05g3mes96,University of Latvia,Riga,56.946,24.10589,1.00,1.00,0,,,,auto
sk-kempelen-institute-kinit,csrankings,Kempelen Institute - KInIT,sk,,https://kinit.sk,9,Kempelen Institute of Intelligent Technologies,02j78kr76,Kempelen Institute of Intelligent Technologies,Bratislava,48.14816,17.10674,1.00,1.00,1,,,,auto
ch-university-of-basel,csrankings,University of Basel,ch,,https://dmi.unibas.ch,8,University of Basel,02s6k3f65,University of Basel,Basel,47.55839,7.57327,1.00,1.00,1,,,,auto
de-university-of-halle-wittenberg,csrankings,University of Halle-Wittenberg,de,,https://www.informatik.uni-halle.de,8,Martin Luther University Halle-Wittenberg,05gqaka33,Martin Luther University Halle-Wittenberg,Halle,51.48158,11.97947,1.00,1.00,0,,,,auto
de-university-of-mainz,csrankings,University of Mainz,de,,https://www.cs.uni-mainz.de,8,University of Mainz,031bsb921,University of Mannheim,Mannheim,49.4891,8.46694,0.94,0.83,0,,,,auto
es-universidad-de-zaragoza,csrankings,Universidad de Zaragoza,es,,https://webdiis.unizar.es,8,Universidad de Zaragoza,012a91z28,Universidad de Zaragoza,Zaragoza,41.65606,-0.87734,1.00,1.00,1,,,,auto
it-university-of-molise,csrankings,University of Molise,it,,https://docenti.unimol.it,8,University of Molise,04z08z627,University of Molise,Campobasso,41.55947,14.66737,1.00,1.00,0,,,,auto
de-jacobs-university-bremen,csrankings,Jacobs University Bremen,de,,https://constructor.university/research/school-of-computer-science-and-engineering,7,Jacobs University Bremen,02yrs2n53,Constructor University,Bremen,53.07582,8.80717,1.00,1.00,1,,,,auto
it-scuola-superiore-sant-anna,csrankings,Scuola Superiore Sant'Anna,it,,https://retis.sssup.it,7,Scuola Superiore Sant'Anna,025602r80,Scuola Superiore Sant'Anna,Pisa,43.70853,10.4036,1.00,1.00,0,,,,auto
it-university-of-l-aquila,csrankings,University of L'Aquila,it,,https://www.disim.univaq.it/,7,University of L'Aquila,01j9p1r26,University of L'Aquila,L’Aquila,42.35055,13.39954,1.00,1.00,1,,,,auto
ro-babe-bolyai-university,csrankings,Babeș-Bolyai University,ro,,https://www.cs.ubbcluj.ro,7,Babeș-Bolyai University,02rmd1t30,Babeș-Bolyai University,Cluj-Napoca,46.76667,23.6,1.00,1.00,1,,,,auto
bg-insait,csrankings,INSAIT,bg,,https://insait.ai,6,INSAIT,,,Sofia,42.69751,23.32415,,,,bg-su,coords borrowed from bg-su,"Founded 2022; not in ROR. Anchored to Sofia University, its host campus",anchored
ch-university-of-bern,csrankings,University of Bern,ch,,https://www.iam.unibe.ch,6,University of Bern,02k7v4d05,University of Bern,Bern,46.94809,7.44744,1.00,1.00,1,,,,auto
de-tu-freiberg,csrankings,TU Freiberg,de,,https://tu-freiberg.de,6,TU Bergakademie Freiberg,031vc2293,TU Bergakademie Freiberg,Freiberg,50.91089,13.33881,1.00,1.00,0,,,,auto
ee-tallinn-university-of-technology,csrankings,Tallinn University of Technology,ee,,https://taltech.ee/en/school-of-information-technologies,6,Tallinn University of Technology,0443cwa12,Tallinn University of Technology,Tallinn,59.43696,24.75353,1.00,1.00,1,,,,auto
de-university-of-cologne,csrankings,University of Cologne,de,,https://cs.uni-koeln.de,5,University of Cologne,00rcxh774,University of Cologne,Cologne,50.93333,6.95,1.00,1.00,0,,,,auto
fr-ecole-normale-superieure-de-rennes,csrankings,Ecole Normale Superieure de Rennes,fr,,http://www.ens-rennes.fr/research-in-computer-sciences-and-telecommunications-157088.kjsp,5,Ecole Normale Superieure de Rennes,03rxtdc22,École Normale Supérieure de Rennes,Bruz,48.02459,-1.74709,1.00,1.00,0,,,,auto
de-university-of-hildesheim,csrankings,University of Hildesheim,de,,https://www.uni-hildesheim.de/en/fb4/institute/ifi/,3,University of Hildesheim,02f9det96,University of Hildesheim,Hildesheim,52.15077,9.95112,1.00,1.00,1,,,,auto
no-simula-uib,csrankings,Simula UiB,no,,https://www.simula.no/research/projects/simula-uib,2,Simula UiB,05kmggt55,Simula UiB,Bergen,60.39299,5.32415,1.00,1.00,0,,,,auto
gr-university-of-patras,csrankings,University of Patras,gr,,https://www.ceid.upatras.gr/en/home/,1,University of Patras,017wvtq80,University of Patras,Pátrai,38.24444,21.73444,1.00,1.00,1,,,,auto
it-university-of-udine,csrankings,University of Udine,it,,https://dmif.uniud.it/en/,1,University of Udine,05ht0mh31,University of Udine,Udine,46.0693,13.23715,1.00,1.00,1,,,,auto
